ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
NPS,Natural,Lightning,0-25,North East,0501-1500,032N,016W,7,Fairbanks,,N,,Natural
DOD,Natural,Lightning,0-25,Flat,0501-1500,002S,006E,23,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,2501-3500,012N,001E,20,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,1501-2500,008N,026E,26,Fairbanks,,N,,Natural
NPS,Natural,Lightning,0-25,Flat,0501-1500,004N,024E,9,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,1501-2500,008N,007W,32,Fairbanks,,N,,Natural
State,Natural,Lightning,0-25,Flat,1501-2500,015N,030W,13,Seward,,N,,Natural
ANCSA,Natural,Lightning,0-25,North West,1501-2500,015N,031E,13,Fairbanks,,N,,Natural
Private,Other causes,Structure,0-25,Flat,0-500,004N,011W,23,Seward,"Grass, Brush",N,,Human
BLM,Natural,Lightning,0-25,Flat,0501-1500,007N,017E,22,Fairbanks,,N,,Natural
DOD,Natural,Lightning,0-25,Flat,0501-1500,009S,007E,17,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,019N,006E,29,Kateel River,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,019N,006E,3,Kateel River,,N,,Natural
State,Arson,Hot set,0-25,Flat,0-500,006N,012W,2,Seward,Grass,N,,Human
State,Natural,Lightning,0-25,North West,0501-1500,008N,009W,13,Fairbanks,,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,014N,068W,12,Seward,Tundra,N,,Natural
ANCSA,Natural,Lightning,0-25,West,0501-1500,027N,047W,15,Seward,Black Spruce,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,0-500,033N,056W,33,Seward,,Y,,Undetermined
USFWS,Natural,Lightning,0-25,Flat,0501-1500,001N,063W,21,Seward,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,029N,050W,6,Seward,Black Spruce,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,011N,067W,26,Seward,"Black Spruce, tundra",N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,029N,048W,21,Seward,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,021N,044W,6,Seward,"Grass, tundra",N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0501-1500,020N,046W,22,Seward,Black Spruce,N,,Natural
BLM,Natural,Lightning,0-25,North West,0501-1500,020N,047W,3,Seward,Mixed hardwood,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0-500,021N,047W,33,Seward,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,023S,021E,11,Kateel River,,N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,023S,021E,27,Kateel River,Spruce,N,,Natural
Private,Debris and open burning,Other land clearing,0-25,Flat,0501-1500,019N,001E,33,Seward,Grass/Stumps ,N,,Human
State,Natural,Lightning,0-25,Flat,0-500,020N,038W,30,Seward,Black Spruce,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,017N,039W,23,Seward,"Brush, tundra",N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,005N,067W,18,Seward,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0-500,023N,067W,23,Seward,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0501-1500,020N,053W,30,Seward,"Grass, tundra",N,,Natural
State,Natural,Lightning,0-25,Flat,0501-1500,010N,032W,34,Seward,,N,,Natural
State,Natural,Lightning,0-25,East,0501-1500,018N,048W,8,Seward,Tundra,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,013N,055W,13,Seward,,N,,Natural
State,Natural,Lightning,0-25,Flat,0-500,027S,017E,17,Kateel River,"Black Spruce, tundra",N,,Natural
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,020N,005W,12,Seward,Grass/ Hardwoods,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0-500,008S,062W,36,Seward,Tundra,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,1501-2500,011N,010E,2,Fairbanks,,N,,Natural
ANCSA,Natural,Lightning,0-25,Flat,0501-1500,015N,027E,4,Fairbanks,,N,,Natural
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0501-1500,003N,001W,4,Copper River,White Spruce,N,,Human
NPS,Undetermined,Undetermined,0-25,Flat,0-500,014S,038W,32,Seward,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0501-1500,009N,031W,16,Seward,"Spruce, tundra",N,,Natural
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,004N,011W,3,Seward,Grass,N,,Human
ANCSA,Natural,Lightning,0-25,South West,2501-3500,001N,028E,20,Fairbanks,,N,,Natural
BLM,Natural,Lightning,0-25,Flat,0501-1500,013S,039W,5,Seward,"Moss, spruce, hardwo",N,,Natural
NPS,Natural,Lightning,0-25,Flat,0-500,019S,041W,6,Seward,mixed spruce,N,,Natural
NPS,Natural,Lightning,0-25,Flat,0501-1500,015S,037W,6,Seward,Tundra,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,010S,009E,6,Fairbanks,,Y,,Undetermined
State,Natural,Lightning,0-25,Flat,0-500,004S,030W,7,Seward,Black Spruce,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0-500,017N,004E,11,Fairbanks,,N,,Natural
USFS,Undetermined,Origin and/or cause not identified,0-25,Flat,0-500,071S,082E,22,Copper River,Grass,N,,Human
BLM,Natural,Lightning,0-25,North,1501-2500,008N,023E,8,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,013S,015E,2,Fairbanks,,Y,,Undetermined
ANCSA,Debris and open burning,Distress/signal fire,0-25,Flat,0501-1500,003N,001W,4,Copper River,Brush,N,,Human
USFS,Human,Human,0-25,Flat,0-500,005N,004W,34,Seward,,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,002N,012W,12,Seward,"Grass, Shrubs, Timbe",N,,Human
Private,Other causes,Structure,0-25,Flat,0-500,006S,013W,1,Seward,Grass,N,,Human
NPS,Natural,Lightning,0-25,Flat,0-500,029N,015W,16,Kateel River,,N,,Natural
Private,Recreation and ceremony,Outdoor oven/fireplace/metal fire ring,0-25,Flat,1501-2500,018N,012E,35,Copper River,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0-500,004N,018W,32,Kateel River,,Y,,Undetermined
NPS,Natural,Lightning,0-25,Flat,0-500,028N,016W,30,Kateel River,,N,,Natural
Private,Undetermined,Origin and/or cause not identified,0-25,Flat,0-500,006N,011W,34,Seward,"Grass, brush",N,,Human
State,Natural,Lightning,0-25,Flat,0-500,004N,018W,19,Kateel River,,N,,Natural
State,Undetermined,Undetermined,0-25,Flat,0501-1500,022N,006E,23,Copper River,,Y,,Undetermined
DOD,Firearms and explosives use,Military ordnance,0-25,North West,1501-2500,003S,006E,4,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0-500,001S,001W,24,Fairbanks,,N,,Human
BIA,Debris and open burning,Burn Barrel,0-25,Flat,0-500,018N,007W,10,Kateel River,,N,,Human
State,Undetermined,Undetermined,0-25,Flat,1501-2500,018N,012E,23,Copper River,,Y,,Undetermined
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,004S,007E,32,Fairbanks,BLACK SPRUCE,N,,Human
Private,Power generation / transmission / distribution,Unknown,0-25,Flat,0-500,004N,011W,23,Seward,Grass,N,,Human
State,,,0-25,Flat,0501-1500,010S,014E,19,Fairbanks,,N,,Human
USFWS,Natural,Lightning,0-25,Flat,0501-1500,015N,026E,1,Fairbanks,,N,,Natural
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0501-1500,001N,001E,28,Copper River,Grass and brush,N,,Human
DOD,Natural,Lightning,0-25,Flat,0501-1500,006S,003E,26,Fairbanks,,N,,Natural
Private,Other causes,Structure,0-25,Flat,0-500,005N,011W,20,Seward,Grass/spruce,N,,Human
State,Natural,Lightning,0-25,Flat,0501-1500,005N,017W,1,Fairbanks,,N,,Natural
State,Undetermined,Undetermined,0-25,East,1501-2500,004N,003W,32,Fairbanks,,Y,,Undetermined
BLM,Natural,Lightning,0-25,North East,1501-2500,008N,001E,36,Fairbanks,,N,,Natural
ANCSA,Undetermined,Undetermined,0-25,Flat,0-500,019N,003E,30,Kateel River,,Y,,Undetermined
State,Recreation and ceremony,Campfire,0-25,Flat,0-500,006S,013W,19,Seward,Driftwood,N,,Human
State,Natural,Lightning,0-25,Flat,0-500,002S,003W,17,Fairbanks,Black Spruce,N,,Natural
USFWS,Natural,Lightning,0-25,Flat,0501-1500,020N,001E,34,Fairbanks,1,N,,Natural
Private,Firearms and explosives use,Inert target shooting,0-25,Flat,0-500,006N,010W,30,Seward,Grass/slash,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,011S,007E,24,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,010S,007E,35,Fairbanks,,N,,Human
State,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,003N,001W,15,Fairbanks,Grass,N,,Human
State,Undetermined,Undetermined,0-25,Flat,0501-1500,008S,011W,14,Fairbanks,,Y,,Undetermined
Private,Other causes,Structure,0-25,Flat,0-500,005N,011W,4,Seward,"Grass, torched Tree",N,,Human
State,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,0-500,005N,009W,15,Seward,Grass,N,,Human
State,Recreation and ceremony,Campfire,0-25,South East,0-500,005S,011W,3,Seward,driftwood/coal,N,,Human
USFWS,Recreation and ceremony,Campfire,0-25,Flat,0-500,006S,013W,20,Seward,Driftwood,N,,Human
ANCSA,Debris and open burning,Open trash burning,0-25,Flat,0-500,023N,079W,15,Seward,,N,,Human
State,Debris and open burning,Hand pile/slash,0-25,Flat,2501-3500,002N,010W,1,Copper River,Grass,N,,Human
State,Equipment and vehicle use,Chainsaw/brush saw/weed trimmer,0-25,Flat,2501-3500,002N,010W,1,Copper River,Grass,N,,Human
State,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,004S,013W,31,Seward,"Grass, Slash",N,,Human
Private,Equipment and vehicle use,Hot work: welder/grinder/torch/cutter,0-25,Flat,0-500,016N,003E,10,Seward,brush and hardwoods,N,,Human
State,Human,Human,0-25,Flat,1501-2500,018N,013E,19,Copper River,Slash,N,,Human
Private,Misuse of fire by a minor,Other,0-25,Flat,0-500,003N,012W,2,Seward,"Grass, brush",N,,Human
State,Equipment and vehicle use,Trailer,0-25,Flat,0-500,004S,015W,15,Seward,Hardwoods,N,,Human
State,Other causes,Structure,0-25,Flat,0501-1500,008S,010E,30,Fairbanks,Mxd hrdwd/blk sprc,N,,Human
USFWS,Undetermined,Undetermined,0-25,Flat,0-500,026N,069W,23,Seward,,Y,,Undetermined
USFWS,Undetermined,Not investigated,0-25,Flat,0-500,026N,069W,15,Seward,,N,,Human
USFS,Equipment and vehicle use,Electric motor/power tools/battery,0-25,Flat,0501-1500,004N,001W,25,Seward,spruce/hrdwd/tundra,N,,Human
State,Undetermined,Origin destroyed,0-25,South East,1501-2500,001S,003W,29,Fairbanks,Moss,N,,Human
County,Undetermined,Undetermined,0-25,Flat,0-500,037S,063E,26,Copper River,,Y,,Undetermined
Private,Debris and open burning,Burn Barrel,0-25,Flat,0501-1500,005S,014E,16,Copper River,Debris,N,,Human
Private,,,0-25,Flat,1501-2500,018N,011E,11,Copper River,DEBRIS,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,002S,006E,25,Fairbanks,,N,,Human
Private,Other causes,Structure,0-25,Flat,1501-2500,001N,004W,14,Fairbanks,BLACK SPRUCE,N,,Human
State,Natural,Other,26-40,South,1501-2500,011S,006W,26,Fairbanks,"Grass, Spruce",N,,Natural
Private,Equipment and vehicle use,Hot work: welder/grinder/torch/cutter,0-25,Flat,0501-1500,011S,012E,28,Fairbanks,Grass and Brush,N,,Human
BIA,Debris and open burning,Open trash burning,0-25,Flat,0-500,004N,011W,12,Seward,"Grass, Heavy Timber",N,,Human
BIA,Other causes,Structure,0-25,Flat,0-500,029S,056E,13,Copper River,Cabin,N,,Human
Private,Equipment and vehicle use,Hot work: welder/grinder/torch/cutter,0-25,East,0501-1500,001N,002W,4,Fairbanks,Grass / Leaf litter,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,001S,001E,28,Fairbanks,Black Spruce,N,,Human
ANCSA,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,1501-2500,018N,015E,30,Copper River,GRASS,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,017N,003W,30,Seward,Grass,N,,Human
State,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0-500,018N,001E,27,Seward,Grass,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,021N,004W,18,Seward,Grass/ Brush,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,011S,007E,3,Fairbanks,,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0-500,001S,002E,19,Fairbanks,"grass, leaf litter",N,,Human
State,Firearms and explosives use,Inert target shooting,0-25,South,0501-1500,019N,003E,16,Seward,Grass ,N,,Human
Private,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,0-500,018N,002W,19,Seward,"grass, spruce",N,,Human
ANCSA,Undetermined,Origin and/or cause not identified,0-25,Flat,1501-2500,017N,014E,3,Copper River,Grass,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,South West,1501-2500,004N,001E,31,Fairbanks,Brush,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,011S,007E,24,Fairbanks,,N,,Human
Private,Debris and open burning,Other,0-25,Flat,0501-1500,020N,005E,27,Seward,Grass,N,,Human
Private,Human,Human,0-25,Flat,0501-1500,002S,004E,28,Copper River,,N,,Human
State,Equipment and vehicle use,Trailer,0-25,Flat,0-500,006S,013W,27,Seward,Grass,N,,Human
ANCSA,Natural,Other,26-40,East,1501-2500,002N,032E,4,Fairbanks,,N,,Natural
NPS,Natural,Other,0-25,South East,1501-2500,003N,030E,9,Fairbanks,,N,,Natural
State,Human,Human,0-25,Flat,0-500,017N,003E,16,Seward,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,002S,006E,32,Fairbanks,,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0501-1500,010S,011E,11,Fairbanks,Slash,N,,Human
Private,Human,Human,0-25,Flat,0-500,018N,001W,17,Seward,,N,,Human
State,Natural,Other,0-25,North East,1501-2500,011S,007W,36,Fairbanks,Grass,N,,Natural
State,Recreation and ceremony,Barbeque/smoker,0-25,Flat,0501-1500,009S,010E,21,Fairbanks,Grass,N,,Human
State,Equipment and vehicle use,Passenger vehicle/motorized RV,0-25,Flat,0-500,017N,001E,15,Seward,GRASS,N,,Human
Private,Debris and open burning,Burn Barrel,0-25,Flat,0501-1500,002S,003W,11,Fairbanks,GRASS,N,,Human
ANCSA,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,014N,018E,23,Copper River,Driftwood,N,,Human
State,,,0-25,Flat,0501-1500,008S,008E,2,Fairbanks,,N,,Human
ANCSA,Recreation and ceremony,Campfire,0-25,Flat,1501-2500,014N,018E,23,Copper River,Driftwood,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0501-1500,018N,002E,24,Seward,Grass,N,,Human
Private,Debris and open burning,Open trash burning,0-25,Flat,0-500,006N,012W,14,Seward,"Garbage, ",N,,Human
Private,Debris and open burning,Open trash burning,0-25,Flat,0-500,009S,011E,18,Kateel River,,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0-500,005N,009W,4,Seward,Slash & Grass,N,,Human
Private,Debris and open burning,Field/agricultural burning,0-25,Flat,0-500,017N,002E,22,Seward,Grass,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,004N,011W,1,Seward,Grass-lawn,N,,Human
Private,Equipment and vehicle use,Unknown,0-25,Flat,0-500,001S,001W,15,Fairbanks,GRASS,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,018N,001W,19,Seward,Grass/ Brush ,N,,Human
Private,Debris and open burning,Burn Barrel,0-25,East,0-500,016N,003W,35,Seward,Grass,N,,Human
Private,Debris and open burning,Other land clearing,0-25,Flat,0-500,018N,002W,24,Seward,Grass,N,,Human
State,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,022S,022E,33,Copper River,Jackstraw / Timber,N,,Human
Private,Smoking,Cigar/cigarette/pipe,0-25,Flat,0-500,003S,007W,8,Fairbanks,Grass,N,,Human
NPS,Undetermined,Undetermined,0-25,Flat,1501-2500,014S,007W,14,Fairbanks,,Y,,Undetermined
County,Debris and open burning,Open trash burning,0-25,Flat,0-500,027S,034E,29,Copper River,Short Timber/Grass,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,017N,001W,12,Seward,Grass,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0-500,004S,008W,24,Fairbanks,"GRASS, BIRCH",N,,Human
Private,Debris and open burning,Open trash burning,0-25,Flat,0-500,017N,003W,13,Seward,0.1,N,,Human
City,Debris and open burning,Yard debris,0-25,Flat,0-500,001N,001W,31,Fairbanks,BRUSH,N,,Human
Private,Debris and open burning,Other,0-25,Flat,0-500,017N,002W,27,Seward,Grass,N,,Human
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,001N,001W,21,Fairbanks,GRASS,N,,Human
Private,Debris and open burning,Burn Barrel,0-25,Flat,0-500,017N,001W,2,Seward,grass / leaves,N,,Human
Private,Undetermined,Origin and/or cause not identified,0-25,Flat,0-500,017N,002E,2,Seward,brush grass spruce,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,017N,001W,5,Seward,grass/ hardwoods ,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0501-1500,001N,001W,29,Fairbanks,,N,,Human
Private,Power generation / transmission / distribution,Electrical transmission/distribution systems,0-25,Flat,0501-1500,001N,001W,24,Fairbanks,Grass,N,,Human
Private,Firearms and explosives use,Unknown,0-25,South East,0501-1500,006S,013W,1,Seward,Grass,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,017N,003E,6,Seward,brush hardwood,N,,Human
City,Smoking,Cigar/cigarette/pipe,0-25,Flat,0501-1500,001N,001W,30,Fairbanks,Grass/Brush,N,,Human
State,Human,Human,0-25,Flat,0501-1500,012S,012E,12,Fairbanks,,N,,Human
Private,Other causes,Structure,0-25,Flat,1501-2500,004N,001E,32,Fairbanks,grass,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0501-1500,001N,001E,30,Fairbanks,"grass, white spruce",N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,011S,007E,24,Fairbanks,,N,,Human
Private,Debris and open burning,Yard debris,0-25,Flat,0501-1500,005S,004E,9,Fairbanks,Grass/Brush,N,,Human
Private,Debris and open burning,Unknown,0-25,Flat,0-500,017N,001W,16,Seward,grass and brush ,N,,Human
Private,Equipment and vehicle use,Aircraft,0-25,Flat,0-500,002S,003W,13,Fairbanks,BLACK SPRUCE,N,,Human
Private,Recreation and ceremony,Campfire,0-25,Flat,0-500,006S,013W,22,Seward,Driftwood,N,,Human
City,Recreation and ceremony,Campfire,0-25,Flat,0-500,005N,011W,6,Seward,Driftwood,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,26,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,26,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,26,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,26,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,15,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,24,Fairbanks,,N,,Human
Private,Other causes,Structure,0-25,Flat,0501-1500,004S,011W,36,Seward,"Grass, Stumps",N,,Human
State,Human,Human,0-25,Flat,0-500,001N,001W,34,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,1501-2500,012S,009E,24,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,28,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,28,Fairbanks,,N,,Human
ANCSA,Debris and open burning,Open trash burning,0-25,Flat,1501-2500,014N,019E,30,Copper River,Debris,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,33,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,28,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,28,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,33,Fairbanks,,N,,Human
DOD,Firearms and explosives use,Military ordnance,0-25,Flat,0501-1500,011S,011E,33,Fairbanks,,N,,Human
DOD,Human,Human,0-25,West,0501-1500,002S,006E,29,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,1501-2500,010S,007E,36,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0-500,001S,001E,30,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0501-1500,002S,003E,2,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0501-1500,002S,004E,32,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0501-1500,011S,011E,6,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,1501-2500,012S,009E,24,Fairbanks,,N,,Human
DOD,Human,Human,0-25,Flat,0501-1500,011S,010E,2,Fairbanks,,N,,Human
Private,Debris and open burning,Hand pile/slash,0-25,Flat,0-500,005N,009W,14,Seward,Slash/brush,N,,Human
NPS,Human,Human,0-25,Flat,1501-2500,014S,007W,5,Fairbanks,,N,,Human
NPS,Human,Human,0-25,Flat,1501-2500,014S,007W,4,Fairbanks,,N,,Human
State,Recreation and ceremony,Campfire,0-25,Flat,0501-1500,010S,010E,14,Fairbanks,Hardwood,N,,Human
NPS,Human,Human,0-25,Flat,0501-1500,004N,029E,2,Fairbanks,,N,,Human
NPS,Human,Human,0-25,Flat,1501-2500,014S,007W,3,Fairbanks,,N,,Human
USFS,Human,Human,0-25,Flat,0-500,005N,004W,35,Seward,,N,,Human
State,Prescribed,,Unknown,Unknown,Unknown,015N,008E,22,Seward,Unknown,N,,Human
Private,Prescribed,,0-25,E,501-1500,002N,002W,36,Fairbanks,Unknown,N,,Human
BIA,,,0-25,SE,1501-2500,013N,020E,10,Copper River,Black Spruce,N,,Human
State,Campfire,,0-25,NW,0-500,010N,001W,25,Seward,Grass,N,,Human
Private,Miscellaneous,Structure,0-25,SW,501-1500,001S,012W,36,Seward,Grass,N,,Human
BLM,Prescribed,,0-25,W,1501-2500,018N,011E,5,Copper River,Unknown,N,,Human
USFS,,,Unknown,Unknown,Unknown,,,,,Unknown,N,,Human
Private,False Alarm,,0-25,E,1501-2500,003N,002E,31,Fairbanks,Grass,Y,,Human
